	id_conv	id_caller	id_speaker	id_topic	sex	age	geography	level_study
0	2001	A	1020	303	FEMALE	39	NORTH MIDLAND	2
1	2001	B	1044	303	FEMALE	33	SOUTH MIDLAND	1
2	2005	A	1169	305	MALE	34	NORTH MIDLAND	2
3	2005	B	1133	305	MALE	60	SOUTH MIDLAND	2
4	2006	A	1035	302	FEMALE	42	NORTH MIDLAND	2
5	2006	B	1061	302	MALE	38	SOUTH MIDLAND	2
6	2007	A	1151	302	MALE	42	SOUTHERN	3
7	2007	B	1052	302	MALE	65	NYC	2
8	2008	A	1176	303	FEMALE	36	MIXED	2
9	2008	B	1057	303	FEMALE	32	NORTH MIDLAND	2
10	2009	A	1055	321	FEMALE	30	SOUTH MIDLAND	2
11	2009	B	1126	321	FEMALE	32	SOUTH MIDLAND	2
12	2010	A	1027	348	FEMALE	34	NORTH MIDLAND	2
13	2010	B	1039	348	MALE	52	SOUTHERN	3
14	2012	A	1110	336	MALE	34	WESTERN	3
15	2012	B	1119	336	MALE	49	MIXED	3
16	2013	A	1071	340	FEMALE	44	SOUTH MIDLAND	3
17	2013	B	1146	340	MALE	34	SOUTH MIDLAND	3
18	2014	A	1153	314	FEMALE	36	WESTERN	3
19	2014	B	1053	314	FEMALE	28	SOUTH MIDLAND	2
20	2015	A	1122	336	MALE	31	SOUTH MIDLAND	9
21	2015	B	1112	336	FEMALE	39	SOUTHERN	3
22	2017	A	1148	343	FEMALE	36	SOUTH MIDLAND	3
23	2017	B	1147	343	MALE	53	SOUTH MIDLAND	3
24	2018	A	1000	329	FEMALE	41	SOUTH MIDLAND	1
25	2018	B	1044	329	FEMALE	33	SOUTH MIDLAND	1
26	2019	A	1052	351	MALE	65	NYC	2
27	2019	B	1142	351	MALE	32	NORTHERN	2
28	2020	A	1176	308	FEMALE	36	MIXED	2
29	2020	B	1169	308	MALE	34	NORTH MIDLAND	2
30	2022	A	1138	357	FEMALE	34	SOUTH MIDLAND	2
31	2022	B	1107	357	FEMALE	34	WESTERN	2
32	2023	A	1033	304	FEMALE	30	SOUTH MIDLAND	1
33	2023	B	1135	304	FEMALE	32	SOUTH MIDLAND	2
34	2024	A	1016	311	FEMALE	50	SOUTHERN	2
35	2024	B	1061	311	MALE	38	SOUTH MIDLAND	2
36	2025	A	1061	341	MALE	38	SOUTH MIDLAND	2
37	2025	B	1064	341	FEMALE	44	NORTHERN	9
38	2027	A	1035	303	FEMALE	42	NORTH MIDLAND	2
39	2027	B	1096	303	FEMALE	32	SOUTH MIDLAND	2
40	2028	A	1086	313	FEMALE	30	SOUTHERN	2
41	2028	B	1101	313	MALE	56	SOUTH MIDLAND	3
42	2032	A	1167	308	MALE	26	NORTHERN	3
43	2032	B	1093	308	FEMALE	35	NORTH MIDLAND	2
44	2035	A	1176	358	FEMALE	36	MIXED	2
45	2035	B	1107	358	FEMALE	34	WESTERN	2
46	2036	A	1063	309	MALE	30	NORTH MIDLAND	3
47	2036	B	1013	309	FEMALE	38	SOUTH MIDLAND	2
48	2038	A	1073	346	MALE	28	NORTHERN	3
49	2038	B	1039	346	MALE	52	SOUTHERN	3
50	2039	A	1101	339	MALE	56	SOUTH MIDLAND	3
51	2039	B	1152	339	FEMALE	48	SOUTH MIDLAND	2
52	2040	A	1130	309	FEMALE	54	NORTHERN	3
53	2040	B	1119	309	MALE	49	MIXED	3
54	2041	A	1110	356	MALE	34	WESTERN	3
55	2041	B	1179	356	FEMALE	36	SOUTH MIDLAND	2
56	2044	A	1219	313	MALE	42	SOUTHERN	2
57	2044	B	1005	313	FEMALE	39	WESTERN	2
58	2045	A	1033	364	FEMALE	30	SOUTH MIDLAND	1
59	2045	B	1055	364	FEMALE	30	SOUTH MIDLAND	2
60	2050	A	1102	303	MALE	30	SOUTH MIDLAND	2
61	2050	B	1148	303	FEMALE	36	SOUTH MIDLAND	3
62	2051	A	1000	312	FEMALE	41	SOUTH MIDLAND	1
63	2051	B	1051	312	MALE	41	SOUTH MIDLAND	2
64	2053	A	1013	364	FEMALE	38	SOUTH MIDLAND	2
65	2053	B	1135	364	FEMALE	32	SOUTH MIDLAND	2
66	2054	A	1007	313	FEMALE	30	NEW ENGLAND	2
67	2054	B	1107	313	FEMALE	34	WESTERN	2
68	2055	A	1176	364	FEMALE	36	MIXED	2
69	2055	B	1139	364	MALE	39	NORTHERN	2
70	2056	A	1033	323	FEMALE	30	SOUTH MIDLAND	1
71	2056	B	1011	323	FEMALE	31	SOUTH MIDLAND	2
72	2057	A	1179	306	FEMALE	36	SOUTH MIDLAND	2
73	2057	B	1060	306	FEMALE	53	WESTERN	1
74	2060	A	1152	349	FEMALE	48	SOUTH MIDLAND	2
75	2060	B	1056	349	MALE	47	WESTERN	3
76	2061	A	1167	304	MALE	26	NORTHERN	3
77	2061	B	1021	304	MALE	38	NORTHERN	3
78	2062	A	1085	345	MALE	48	SOUTH MIDLAND	3
79	2062	B	1096	345	FEMALE	32	SOUTH MIDLAND	2
80	2064	A	1133	322	MALE	60	SOUTH MIDLAND	2
81	2064	B	1148	322	FEMALE	36	SOUTH MIDLAND	3
82	2065	A	1140	327	MALE	54	SOUTH MIDLAND	2
83	2065	B	1064	327	FEMALE	44	NORTHERN	9
84	2067	A	1123	304	FEMALE	39	SOUTH MIDLAND	3
85	2067	B	1107	304	FEMALE	34	WESTERN	2
86	2071	A	1013	320	FEMALE	38	SOUTH MIDLAND	2
87	2071	B	1016	320	FEMALE	50	SOUTHERN	2
88	2072	A	1042	364	FEMALE	57	NEW ENGLAND	1
89	2072	B	1061	364	MALE	38	SOUTH MIDLAND	2
90	2073	A	1174	355	MALE	33	MIXED	2
91	2073	B	1047	355	MALE	32	SOUTH MIDLAND	2
92	2078	A	1071	365	FEMALE	44	SOUTH MIDLAND	3
93	2078	B	1027	365	FEMALE	34	NORTH MIDLAND	2
94	2079	A	1000	343	FEMALE	41	SOUTH MIDLAND	1
95	2079	B	1061	343	MALE	38	SOUTH MIDLAND	2
96	2080	A	1010	364	MALE	63	NEW ENGLAND	1
97	2080	B	1051	364	MALE	41	SOUTH MIDLAND	2
98	2082	A	1055	302	FEMALE	30	SOUTH MIDLAND	2
99	2082	B	1060	302	FEMALE	53	WESTERN	1
100	2083	A	1063	321	MALE	30	NORTH MIDLAND	3
101	2083	B	1018	321	FEMALE	33	SOUTH MIDLAND	3
102	2085	A	1071	345	FEMALE	44	SOUTH MIDLAND	3
103	2085	B	1051	345	MALE	41	SOUTH MIDLAND	2
104	2086	A	1124	306	MALE	35	NORTH MIDLAND	3
105	2086	B	1156	306	FEMALE	49	SOUTHERN	2
106	2087	A	1119	327	MALE	49	MIXED	3
107	2087	B	1023	327	MALE	56	SOUTHERN	2
108	2089	A	1025	360	MALE	42	SOUTH MIDLAND	2
109	2089	B	1147	360	MALE	53	SOUTH MIDLAND	3
110	2090	A	1074	364	FEMALE	27	NYC	2
111	2090	B	1094	364	FEMALE	35	SOUTH MIDLAND	2
112	2091	A	1145	329	MALE	26	MIXED	2
113	2091	B	1035	329	FEMALE	42	NORTH MIDLAND	2
114	2092	A	1167	357	MALE	26	NORTHERN	3
115	2092	B	1069	357	MALE	45	SOUTH MIDLAND	2
116	2093	A	1069	364	MALE	45	SOUTH MIDLAND	2
117	2093	B	1008	364	FEMALE	56	MIXED	1
